id Объекта;Объект;Адрес;id Ведомственной Организации;Ведомственная Организация;Доступность;Доступность;Широта (Latitude);Долгота (Longitude)
100068;Дворовая территория;город Зеленоград, корпус 1001;237402;Управа района Силино города Москвы;4;Шаговая доступность;55.9881394746777;37.178800187490026
100069;Дворовая территория;город Зеленоград, корпус 1005;237402;Управа района Силино города Москвы;4;Шаговая доступность;55.98537053395588;37.1774349163573
100070;Дворовая территория;город Зеленоград, корпус 1007;237402;Управа района Силино города Москвы;4;Шаговая доступность;55.98568263238805;37.17293361174076
100071;Дворовая территория;город Зеленоград, корпус 1101;237402;Управа района Силино города Москвы;4;Шаговая доступность;55.99346153548735;37.18704930922357
100072;Дворовая территория;город Зеленоград, корпус 1106;237402;Управа района Силино города Москвы;4;Шаговая доступность;55.99734286526119;37.1892897257716
100073;Дворовая территория;город Зеленоград, корпус 1114;237402;Управа района Силино города Москвы;4;Шаговая доступность;55.99819583449485;37.185894228116325
100074;Дворовая территория;город Зеленоград, корпус 1117;237402;Управа района Силино города Москвы;4;Шаговая доступность;55.99674146492097;37.18441385650411
100075;Дворовая территория;город Зеленоград, корпус 1118;237402;Управа района Силино города Москвы;4;Шаговая доступность;55.99633849415715;37.18403572308565
100076;Дворовая территория;город Зеленоград, корпус 1121;237402;Управа района Силино города Москвы;4;Шаговая доступность;55.996299832351035;37.1768006759484
100077;Дворовая территория;город Зеленоград, корпус 1129;237402;Управа района Силино города Москвы;4;Шаговая доступность;55.997251643078926;37.181335010466256
100078;Спортивный зал «Энергия»;город Зеленоград, корпус 1132;237348;Префектура Зеленоградского административного округа города Москвы;3;Районное;55.995172443282385;37.17046011005902
100079;Дворовая территория;город Зеленоград, корпус 1204;237402;Управа района Силино города Москвы;4;Шаговая доступность;55.9989065653981;37.19521510917118
100081;Дворовая территория;город Зеленоград, корпус 1208;237402;Управа района Силино города Москвы;4;Шаговая доступность;55.99439908780177;37.196029136296694
100082;Дворовая территория;город Зеленоград, корпус 1210;237402;Управа района Силино города Москвы;4;Шаговая доступность;55.992841283932684;37.195574428268664
100083;Дворовая территория;город Зеленоград, корпус 239;237400;Управа района Матушкино города Москвы;4;Шаговая доступность;56.0021977273266;37.206550037388894
100084;Фитнес-клуб «Алекс фитнес»;город Зеленоград, корпус 306;NULL;NULL;3;Районное;55.991083145075045;37.21931748359008
100085;Дворовая территория;город Зеленоград, корпус 307;237401;Управа района Савелки города Москвы;4;Шаговая доступность;55.99781050166062;37.21515551839901
100086;Дворовая территория;город Зеленоград, корпус 309;237401;Управа района Савелки города Москвы;4;Шаговая доступность;56.00044709983449;37.212458846624926
100087;Дворовая территория;город Зеленоград, корпус 611;237401;Управа района Савелки города Москвы;4;Шаговая доступность;55.98969573127319;37.22999267546876
100088;Дворовая территория;город Зеленоград, корпус 617;237401;Управа района Савелки города Москвы;4;Шаговая доступность;55.98870478740722;37.23416284795466
100092;Спортивный комплекс учреждения социальной защиты населения «Территориальный центр социального обслуживания «Кузьминки» филиал «Рязанский»;Зеленодольская улица, дом 4;237336;Департамент труда и социальной защиты населения города Москвы;3;Районное;55.716553286598206;37.789569191497165
100094;Государственное бюджетное учреждение Спортивно-досуговый центр «Люблино»;Краснодонская улица, дом 39, строение 2;237438;Управа района Люблино города Москвы;3;Районное;55.67434105489529;37.749609302880486
100096;Учреждение культурно-досугового типа «Митино»;Митинская улица, дом 31, корпус 1;237332;Департамент культуры города Москвы;3;Районное;55.84636604288244;37.35553982890722
100098;Спортивный комплекс образовательного учреждения «Муниципальное автономное образовательное учреждение средняя общеобразовательная школа № 2»;"город Троицк, микрорайон ""В"", дом 38";NULL;NULL;4;Шаговая доступность;55.486821;37.30689
100100;Дворовая территория;"город Троицк, микрорайон ""В"", дом 3";NULL;NULL;4;Шаговая доступность;55.489442;37.296694
100102;Дворовая территория;город Троицк, Академическая площадь, дом 1;NULL;NULL;4;Шаговая доступность;55.48587163011179;37.303367293817885
100105;Дворовая территория;город Троицк, Октябрьский проспект, дом 15;NULL;NULL;4;Шаговая доступность;55.477134999118086;37.29528345989136
100106;Дворовая территория;город Троицк, Октябрьский проспект, дом 19;NULL;NULL;4;Шаговая доступность;55.47927907166636;37.29780779128127
100107;Физкультурно-оздоровительный комплекс «Прометей»;посёлок Коммунарка, дом 11, строение 1;NULL;NULL;3;Районное;55.5704;37.47934
100108;Плоскостное спортивное сооружение;посёлок Птичное, Центральная улица, владение 107, строение 1;NULL;NULL;3;Районное;55.517786;37.218622
100109;Комплекс спортивных сооружений «Подольск»;посёлок Спортбазы, дом 7;NULL;NULL;2;Окружное;55.36033036418082;37.41347147727383
100110;Футбольное поле;Ватутинки-1, дом 36;259810;Министерство обороны Российской Федерации;3;Районное;55.504006842922934;37.32702749522462
100111;Физкультурно-оздоровительный комплекс «Спортивно-оздоровительный центр «Локомотив»;рабочий посёлок Киевский, дом 15;NULL;NULL;3;Районное;55.432403;36.867829
100112;Дворовая территория;посёлок Рогово, Юбилейная улица, дом 21;NULL;NULL;4;Шаговая доступность;55.21184128713964;37.070736127142844
100114;Комплекс спортивных сооружений «Ватутинки»;Ватутинки-1, дом 29;NULL;NULL;2;Окружное;55.51010083608019;37.36989208780307
100116;Дворовая территория;посёлок Воскресенское, дом 30;NULL;NULL;4;Шаговая доступность;55.53022580402222;37.447619385243705
100117;Дворовая территория;посёлок Воскресенское, дом 32;NULL;NULL;4;Шаговая доступность;55.53280301492286;37.44613766428653
100118;Спортивный комплекс образовательного учреждения;посёлок Воскресенское, дом 36;219814;Департамент образования и науки города Москвы;4;Шаговая доступность;55.530852;37.447836
100119;Дворовая территория;посёлок Минвнешторга, улица Ленина, дом 23;NULL;NULL;4;Шаговая доступность;55.630805284847774;37.25601049205682
100120;Дворовая территория;"посёлок ДСК ""Мичуринец"", улица Горького, дом 2А";NULL;NULL;4;Шаговая доступность;55.65978759636724;37.32508802600074
100121;Физкультурно-оздоровительный комплекс «Подолье»;посёлок Ерино, дом 2;NULL;NULL;3;Районное;55.44871083186318;37.52593884410944
100122;Физкультурно-оздоровительный комплекс «Спортивно-культурный центр по реабилитации воинов-участников локальных конфликтов «Пересвет» МУ «СК «Десна»»;посёлок Знамя Октября, дом 31, строение 3;NULL;NULL;3;Районное;55.473306;37.541674
100123;Дворовая территория;1-я Мелитопольская улица, дом 1;NULL;NULL;4;Шаговая доступность;55.491579;37.306073
100124;Фитнес клуб «Фит лайф»;Реутовская улица, дом 10Б;NULL;NULL;3;Районное;55.738008;37.834848
100126;Комплекс спортивных сооружений «Спортивная Школа «Теннис парк»;Рязанский проспект, дом 4А, строение 1;NULL;NULL;2;Окружное;55.727832261477374;37.74513799886401
100127;Ледовый клуб «Айс Парк»;Рязанский проспект, дом 4, строение 9;NULL;NULL;2;Окружное;55.72909813286684;37.74576528426751
100128;Учебно-физкультурный комплекс добровольная спортивная организация «Русская Земля»;Садовая-Спасская улица, дом 1/2, корпус А;237430;Управа Красносельского района города Москвы;3;Районное;55.771975796752336;37.64218410724093
100129;Государственное бюджетное учреждение города Москвы Центр культуры досуга и спорта «Истоки»;Саранская улица, дом 7;237343;Префектура Юго-Восточного административного округа города Москвы;3;Районное;55.693135;37.856551
100130;спортивный зал;Саратовская улица, дом 14/1, строение 3;237444;Управа района Текстильщики города Москвы;3;Районное;55.714663906886294;37.73778214673988
100131;Дворовая территория;город Троицк, Сиреневый бульвар, дом 6;NULL;NULL;4;Шаговая доступность;55.47138924490179;37.29839075442588
100132;Спортивный комплекс образовательного учреждения «Муниципальное автономное дошкольное учреждение Центр развития ребенка Детский сад № 2 «Рябинка»»;Сиреневый бульвар, дом 4, корпус 2;NULL;NULL;4;Шаговая доступность;55.470418;37.297979
100133;Бассейн плавательный «МАУ ДО ДЮСШ-2»;город Троицк, Сиреневый бульвар, дом 15;NULL;NULL;3;Районное;55.472569018800144;37.29508789257683
100134;Государственное бюджетное учреждение Спортивно-досуговый центр «Люблино»;Ставропольский проезд, дом 17;237438;Управа района Люблино города Москвы;3;Районное;55.67881403336925;37.80072949661468
100135;Досуговый центр «Центр культуры досуга и спорта «Истоки»;Ташкентская улица, дом 34, корпус 3;237343;Префектура Юго-Восточного административного округа города Москвы;3;Районное;55.69615660535241;37.80216461199768
100140;Парк Победы на Поклонной горе;площадь Победы, дом 3, строение 2;237333;Департамент жилищно-коммунального хозяйства города Москвы;1;Городское;55.731632;37.506945
100145;Досуговый центр «Бойцовский клуб на Баграмяна»;улица Маршала Баграмяна, дом 3;NULL;NULL;3;Районное;55.67125211947392;37.790859720982034
100148;Ледяная естественная горка;улица Марьинский Парк, дом 41, корпус 1;237438;Управа района Люблино города Москвы;3;Районное;55.66951491930086;37.793391263779874
100149;Ледовый дворец «Стерх»;город Щербинка, Новостроевская улица, дом 1;NULL;NULL;2;Окружное;55.50582729283225;37.55787702838895
100150;Физкультурно-оздоровительный комплекс «МБОУ ДОД ДЮСШ» городского округа Щербинка»;город Щербинка, Новостроевская улица, дом 1;NULL;NULL;3;Районное;55.50550839336063;37.559186174142766
100151;Дворовая территория;город Троицк, Радужная улица, дом 13;NULL;NULL;4;Шаговая доступность;55.48932690591685;37.31209143619533
100153;Дворовая территория;город Троицк, улица Текстильщиков, дом 2А;NULL;NULL;4;Шаговая доступность;55.49153457862329;37.30870755828658
100154;Государственное бюджетное учреждение города Москвы Центр культуры досуга и спорта «Истоки»;улица Хлобыстова, дом 16, корпус 2;237343;Префектура Юго-Восточного административного округа города Москвы;3;Районное;55.71739327906089;37.807929638948416
100156;Дворовая территория;город Троицк, Юбилейная улица, дом 3;NULL;NULL;4;Шаговая доступность;55.472929;37.301159
100157;Досуговый центр «Спортивно-Досуговый Центр «Барс»;Волгоградский проспект, дом 135, корпус 3;NULL;NULL;3;Районное;55.706168;37.772307
100161;Фитнес-клуб «Веджим»;Ферганская улица, дом 6, корпус 2;NULL;NULL;3;Районное;55.70993485965317;37.803127643771255
100163;Московский государственный университет имени М.В.Ломоносова;улица Косыгина, владение 29;NULL;NULL;3;Районное;55.70636292319768;37.56761318930427
100177;Спортивный комплекс учреждения социальной защиты населения «Территориальный центр социального обслуживания «Кузьминки»;Зеленодольская улица, дом 36, корпус 1;237336;Департамент труда и социальной защиты населения города Москвы;3;Районное;55.709506622803936;37.76765800490746
100187;Спортивный комплекс учреждения социальной защиты населения «Центр социального обслуживания района Печатники»;улица Гурьянова, дом 49;237336;Департамент труда и социальной защиты населения города Москвы;3;Районное;55.68084753096646;37.717030427289025
100188;Спортивный комплекс учреждения социальной защиты населения «ГБУ ТЦСО Марьино»;Люблинская улица, дом 159;237336;Департамент труда и социальной защиты населения города Москвы;3;Районное;55.65376621903626;37.7438308263127
100193;Дворовая территория;Лухмановская улица, дом 35;237390;Управа района Косино-Ухтомский города Москвы;4;Шаговая доступность;55.724861702345656;37.91220381229656
100194;Плоскостное спортивное сооружение;Открытое шоссе, дом 9, строение 1;237342;Префектура Восточного административного округа города Москвы;3;Районное;55.815413;37.738045
100196;Спортивный комплекс «Потаповский»;Чистопрудный бульвар, дом 14, строение 4;219165;Москомспорт.;3;Районное;55.759704;37.643031
100201;Дворовая территория;Сухонская улица, дом 1;237380;Управа района Южное Медведково города Москвы;4;Шаговая доступность;55.87374073114985;37.65135044947708
100203;Парк, особо охраняемая природная территория «Москворецкий»;Живописная улица, дом 50;237335;Департамент природопользования и охраны окружающей среды города Москвы;2;Окружное;55.802818786069984;37.449358440786476
100204;Автодром «Картинг-центр «Форза картинг»»;Шарикоподшипниковская улица, дом 13, строение 89;NULL;NULL;2;Окружное;55.719029;37.681532
100205;Парк, озелененная городская территория «Северное Тушино»;улица Свободы, дом 52;237332;Департамент культуры города Москвы;2;Окружное;55.86107899401639;37.44997636236761
100207;Дворовая территория;Сахалинская улица, дом 7, корпус 2, строение 2;237387;Управа района Гольяново города Москвы;4;Шаговая доступность;55.82661873346773;37.81513924112656
100212;Автодром «Монако»;Складочная улица, дом 1, строение 6;NULL;NULL;2;Окружное;55.80463337279091;37.593969354338796
100213;Автодром «РРТ-карт»;улица Правды, дом 24, строение 5;NULL;NULL;2;Окружное;55.78849;37.584595
100218;Автодром «Картинг-клуб 21»;Большая Очаковская улица, дом 47;NULL;NULL;2;Окружное;55.6743670893618;37.44499845364528
100223;Дворовая территория;Средняя Первомайская улица, дом 21;237386;Управа района Восточное Измайлово города Москвы;4;Шаговая доступность;55.7961307609316;37.81067173100739
100225;Дворовая территория;3-я Парковая улица, дом 30, строение 2;237389;Управа района Измайлово города Москвы;4;Шаговая доступность;55.798330773067406;37.783661568968654
100227;Дворовая территория;Главная улица, дом 2;237385;Управа района Восточный города Москвы;4;Шаговая доступность;55.81703661491211;37.86130385906822
100228;Дворовая территория;Главная улица, дом 3;237385;Управа района Восточный города Москвы;4;Шаговая доступность;55.818670927946016;37.86169125616213
100231;Дворовая территория;Большая Косинская улица, дом 160, строение 1;237390;Управа района Косино-Ухтомский города Москвы;4;Шаговая доступность;55.72597671658609;37.85094555341597
100240;Дворовая территория;Сиреневый бульвар, дом 58;237386;Управа района Восточное Измайлово города Москвы;4;Шаговая доступность;55.8023654985542;37.82505200108148
100242;Дворовая территория;улица Молостовых, дом 14, строение 5;237388;Управа района Ивановское города Москвы;4;Шаговая доступность;55.755796213346976;37.830612105925944
100244;Дворовая территория;улица Преображенский Вал, дом 24, корпус 6;237395;Управа района Преображенское города Москвы;4;Шаговая доступность;55.79070868499424;37.71379614496258
100252;Стрелковый клуб «Лабиринт»;Самокатная улица, дом 4, строение 1;NULL;NULL;3;Районное;55.75635012844108;37.67721511541368
100256;Парк (озелененная городская территория) «Измайловский Парк»;аллея Большого Круга, дом 7;237332;Департамент культуры города Москвы;1;Городское;55.768863439407006;37.75084560284093
100258;Зона отдыха «Битца»лодочная станция;проезд Карамзина, дом 13, корпус 1, строение 1;237453;Управа района Северное Бутово города Москвы;2;Окружное;55.591145430627485;37.54203982636775
100259;Спортивный клуб Стрела-84»;Садовая-Спасская улица, дом 1/2, строение 5;237430;Управа Красносельского района города Москвы;3;Районное;55.771975;37.640479
100262;Стрелковый стенд, стрельбище, тир «Окружной стрелково-спортивный клуб «Виктория»;Ташкентская улица, дом 26, строение 2;NULL;NULL;3;Районное;55.700725;37.807485
100268;Клуб стрельбы из лука «Варяг»;Большая Филёвская улица, дом 3;NULL;NULL;3;Районное;55.751761;37.514068
100271;Дворовая территория;деревня Внуково, дом 67;NULL;NULL;4;Шаговая доступность;55.646725297611155;37.26335029031998
100272;Дворовая территория;Инженерная улица, дом 36/48;237367;Управа Алтуфьевского района города Москвы;4;Шаговая доступность;55.8806755555849;37.57181407377149
100274;Дворовая территория;Олонецкий проезд, дом 18, корпус 1;237368;Управа Бабушкинского района города Москвы;4;Шаговая доступность;55.87707067624918;37.663347902070015
100275;Дворовая территория;Осташковская улица, дом 19;237368;Управа Бабушкинского района города Москвы;4;Шаговая доступность;55.88174615969712;37.675417405213246
